,word,Englishness,length
370,tompkins trustco,23.976936275327425,15
371,tompkins financial,22.027659782352295,17
372,skaneateles savings bank ny,21.113595454087687,24
373,center banks,3.8230576245046044,11
374,skaneateles bancorp,26.093192736574032,18
375,worldgroup companies,36.79570109564309,19
376,allisons place,9.703417726297294,13
377,premier technology,17.265539224170446,17
378,american international,17.560095326494768,21
379,am cable tv inds,4.269664189717965,13
380,network video,14.408153909396557,12
381,camera platforms intl,22.736249717459106,19
382,tel man,-7.2544203654520665,6
383,southernnet,18.717621844740034,11
384,balchem,8.45978513959274,7
385,mid hudson svgs bk fsb fishkill,37.49819167995398,26
386,first inter bancorp,8.939727838687313,17
387,american bionetics,15.111239635463363,17
388,american motors,11.21698557146118,14
389,brookfield fed bank for svgs il,10.114124316372038,26
390,brookfield bancshares,40.43339653860939,20
391,computer aided time,9.579982029119728,17
392,genzyme,6.79469231096784,7
393,casual male mass,0.39610179228807363,14
394,nytest environmental,31.48412756339922,19
395,united savings bank salem,10.403505580329217,22
396,hana biologics,8.723667825865087,13
397,somatix therapy,12.455054118538406,14
398,stateswest airlines,24.383324376201642,18
399,new star entertainment,16.542983959874512,20
400,tower federal savings bank in,9.030056929779532,25
401,natural organics,13.802252308473884,15
402,xoma,5.853652245618132,4
403,xoma royalty,15.213432944813245,11
404,cal star financial svcs,6.10910993721337,20
405,coin phones,1.8320049370648692,10
406,palm springs savings bank,13.015068213443898,22
407,amity bank ct,-1.4732400603922504,11
408,amity bancorp,6.532435383453123,12
409,first granite bancorp il,10.43384584957204,21
410,abington savings bank mass,12.564383391753978,23
411,abington bancorp,16.518138497729602,15
412,abington savings bank,15.418075368249415,19
413,abington bancorp new,16.446969492351574,18
414,inamed,2.1031966180958883,6
415,infinity broadcasting,23.456452670442015,20
416,lincoln foodservice prods,34.25257093494799,23
417,crowley financial svcs,20.653002712520994,20
418,futures,8.422646134285856,7
419,jack carl futures,7.604774961170252,15
420,applied spectrum techn,18.354101141161166,20
421,american fid life ins,3.824346084010864,18
422,medphone,13.502918753021735,8
423,psicor,5.2269424265267705,6
424,marietta,9.845260327713786,8
425,adaptec,13.767670922838843,7
426,steel excel,4.431524534497257,10
427,international consumer brds,23.722172375060268,25
428,daily journal,7.877683711517159,12
429,american reliance grp,16.834284230221215,19
430,american reliance,12.192530976523495,16
431,ari,-1.2357906454637915,3
432,autospa automalls,20.562811052486637,16
433,avondale industries,26.833228396399598,18
434,andover togs,6.7996254939151175,11
435,north american ventures,15.45098891528545,21
436,butler international new,15.051380934477685,22
437,advanced magnetics,17.27422850913859,17
438,american smlt refng,22.51211614264337,17
439,asarco,7.919883850318135,6
440,suburban bankshares,22.10201745138799,18
441,home savings loan assn nc,23.68339116466013,21
442,taunton savings bank ma,8.867262137243385,20
443,woburn five cents savings bank,19.130927212178815,26
444,first woburn bancorp,19.358805643440732,18
445,sybra,3.916370645757282,5
446,candela laser,6.9860790956084475,12
447,candela,6.027809619402501,7
448,american radiator std san,13.090992099494123,22
449,american standard,13.736452699249252,16
450,digital metcom,11.974665128319197,13
451,national sanitary supply,11.116596533550917,22
452,cliff engle,4.327705370815049,10
453,ovabloc,9.016526510077885,7
454,international genetic engr,22.860350487070804,24
455,astec industries,20.209237949729207,15
456,cytogen,5.611836022196897,7
457,rudys restaurant,16.45088057193506,15
458,american telemedia network,25.19552786724293,24
459,national reference pubg,15.944546027371743,21
460,aegis communications,22.73744210468409,19
461,westronix,14.811186092156136,9
462,flagship express,10.948275176952254,15
463,trenwick,12.634341005035997,8
464,neeco,7.258746769355984,5
465,global health systems,21.1757158846668,19
466,peoples westchester savings bank,31.04185274919553,29
467,newport news savings bk va,19.710478992420494,22
468,tidemark bancorp,18.212148703540564,15
469,cosmetic fragrance conc,17.416941186788556,21
470,cosmetic center,7.478559363742892,14
471,navigators,17.437027828813505,10
472,computer components,21.820218983958718,18
473,werner enterprises,21.138042767605,17
474,interleaf,12.150164784753429,9
475,american telephone teleg,20.983088691022843,22
476,arlen property invs sbi,19.4788674660008,20
477,worlds of wonder,8.527624174863572,14
478,transmedia network,21.819451086348707,17
479,idine rewards network,15.163645813290696,19
480,rewards network,13.302652299888223,14
481,ivy medical,6.265504335991358,10
482,choice drug systems,20.224513436253588,17
483,capstone pharmacy services,29.17720819728621,24
484,pharmerica,12.912857874682565,10
485,aloette cosmetics,18.287708915006096,16
486,student aide ctrs of america,21.364973319274544,24
487,american health cos,10.207063592775842,17
488,jones medical industries,21.14327157252294,22
489,jones pharma,6.672110755640887,11
490,royce laboratories,25.68279461093307,17
491,genicom,6.662708221285996,7
492,royalpar industries,27.3462437939114,18
493,eldec,6.251012976771897,5
