original_name,company_name
MOUNTAINEER BANKSHARES WV,mountaineer bankshares wv
COGNITIVE SYSTEMS INC,cognitive systems
LOWELL INSTITUTION FOR SAVINGS,lowell institution for savings
MERRIMACK BANCORP INC MA,merrimack bancorp ma
UNIVATION INC,univation
WALTHAM SAVINGS BANK,waltham savings bank
WALTHAM CORP,waltham
STERLING BANCSHARES CORP,sterling bancshares
NIAGARA EXCHANGE CORP,niagara exchange
AMERICAN CONSUMER INDS INC,american consumer inds
SAVECO INC,saveco
MASSBANK FOR SAVINGS,massbank for savings
MASSBANK CORP,massbank
TEKELEC,tekelec
LANDMARK BANK FOR SAVINGS MA,landmark bank for savings ma
BETA PHASE INC,beta phase
SENETEK PLC,senetek
AMERICAN CRYSTAL SUGAR CO,american crystal sugar
HENLEY GROUP INC,henley
WHEELABRATOR GROUP INC,wheelabrator
WHEELABRATOR TECHNOLOGIES INC NW,wheelabrator technologies nw
GENETICS INSTITUTE INC,genetics institute
PROTOCOM DEVICES INC,protocom devices
AUTOINFO INC,autoinfo
BRENDLES INC,brendles
APPLIED OPTICS INC,applied optics
PROSPECT GROUP INC,prospect
BEAR AUTOMOTIVE SVC EQUIP CO,bear automotive svc equip
ANGIO MEDICAL CORP,angio medical
HARLEYSVILLE GROUP INC,harleysville
FAMIGLIA INDUSTRIES INC,famiglia industries
FAMIGLIA BRANDS INC,famiglia brands
AMERICAN CHICLE CO,american chicle
HAVERTY FURNITURE COS INC,haverty furniture cos
MICRO MEMBRANES INC,micro membranes
GRENADA SUNBURST SYS CORP,grenada sunburst sys
LAKE SUNAPEE SVNG BANK FSB,lake sunapee svng bank fsb
NEW HAMPSHIRE THRIFT BNCSHRS INC,new hampshire thrift bncshrs
LAKE SUNAPEE BANK GROUP,lake sunapee bank
AQUASCIENCES INTERNATIONAL INC,aquasciences international
LINEAR TECHNOLOGY CORP,linear technology
WORLDWIDE COMPUTER SVCS INC,worldwide computer svcs
TRANSFORM LOGIC CORP,transform logic
CYPRESS SEMICONDUCTOR CORP,cypress semiconductor
PRIME CAPITAL CORP,prime capital
AMCORE FINANCIAL INC,amcore financial
MODULAR TECHNOLOGY INC,modular technology
MILLER BUILDING SYSTEMS INC,miller building systems
TOMPKINS COUNTY TRUST CO NY,tompkins county trust ny
TOMPKINS COUNTY TRUSTCO INC,tompkins county trustco
TOMPKINS TRUSTCO INC,tompkins trustco
TOMPKINS FINANCIAL CORP,tompkins financial
SKANEATELES SAVINGS BANK NY,skaneateles savings bank ny
CENTER BANKS INC,center banks
SKANEATELES BANCORP INC,skaneateles bancorp
WORLDGROUP COMPANIES INC,worldgroup companies
ALLISONS PLACE INC,allisons place
PREMIER TECHNOLOGY HOLDING INC,premier technology
AMERICAN INTERNATIONAL CORP,american international
AM CABLE TV INDS INC,am cable tv inds
NETWORK VIDEO INC,network video
CAMERA PLATFORMS INTL INC,camera platforms intl
TEL MAN INC,tel man
SOUTHERNNET INC,southernnet
BALCHEM CORP,balchem
MID HUDSON SVGS BK FSB FISHKILL,mid hudson svgs bk fsb fishkill
FIRST INTER BANCORP INC,first inter bancorp
AMERICAN BIONETICS INC,american bionetics
AMERICAN MOTORS CORP,american motors
BROOKFIELD FED BANK FOR SVGS IL,brookfield fed bank for svgs il
BROOKFIELD BANCSHARES CORP,brookfield bancshares
COMPUTER AIDED TIME SHARE INC,computer aided time
GENZYME CORP,genzyme
CASUAL MALE CORP MASS,casual male mass
NYTEST ENVIRONMENTAL INC,nytest environmental
UNITED SAVINGS BANK SALEM,united savings bank salem
HANA BIOLOGICS INC,hana biologics
SOMATIX THERAPY CORP,somatix therapy
STATESWEST AIRLINES INC,stateswest airlines
NEW STAR ENTERTAINMENT INC,new star entertainment
TOWER FEDERAL SAVINGS BANK IN,tower federal savings bank in
NATURAL ORGANICS CORP,natural organics
XOMA CORP,xoma
XOMA ROYALTY CORP,xoma royalty
CAL STAR FINANCIAL SVCS INC,cal star financial svcs
COIN PHONES INC,coin phones
PALM SPRINGS SAVINGS BANK,palm springs savings bank
AMITY BANK CT,amity bank ct
AMITY BANCORP INC,amity bancorp
FIRST GRANITE BANCORP INC IL,first granite bancorp il
ABINGTON SAVINGS BANK MASS,abington savings bank mass
ABINGTON BANCORP INC,abington bancorp
ABINGTON SAVINGS BANK,abington savings bank
ABINGTON BANCORP INC NEW,abington bancorp new
INAMED CORP,inamed
INFINITY BROADCASTING CORP,infinity broadcasting
LINCOLN FOODSERVICE PRODS INC,lincoln foodservice prods
CROWLEY FINANCIAL SVCS INC,crowley financial svcs
312 FUTURES INC,futures
JACK CARL 312 FUTURES INC,jack carl futures
APPLIED SPECTRUM TECHN INC,applied spectrum techn
AMERICAN FID LIFE INS CO,american fid life ins
MEDPHONE CORP,medphone
PSICOR INC,psicor
MARIETTA CORP,marietta
ADAPTEC INC,adaptec
STEEL EXCEL INC,steel excel
INTERNATIONAL CONSUMER BRDS INC,international consumer brds
DAILY JOURNAL CO,daily journal
AMERICAN RELIANCE GRP INC,american reliance grp
AMERICAN RELIANCE GROUP INC,american reliance
ARI HOLDINGS INC,ari
AUTOSPA AUTOMALLS INC,autospa automalls
AVONDALE INDUSTRIES INC,avondale industries
ANDOVER TOGS INC,andover togs
NORTH AMERICAN VENTURES INC,north american ventures
BUTLER INTERNATIONAL INC NEW,butler international new
ADVANCED MAGNETICS INC,advanced magnetics
AMERICAN SMLT & REFNG CO,american smlt refng
ASARCO INC,asarco
SUBURBAN BANKSHARES INC,suburban bankshares
HOME SAVINGS & LOAN ASSN NC,home savings loan assn nc
TAUNTON SAVINGS BANK MA,taunton savings bank ma
WOBURN FIVE CENTS SAVINGS BANK,woburn five cents savings bank
FIRST WOBURN BANCORP INC,first woburn bancorp
SYBRA INC,sybra
CANDELA LASER CORP,candela laser
CANDELA CORP,candela
AMERICAN RADIATOR & STD SAN CORP,american radiator std san
AMERICAN STANDARD INC,american standard
DIGITAL METCOM INC,digital metcom
NATIONAL SANITARY SUPPLY CO,national sanitary supply
CLIFF ENGLE LTD,cliff engle
OVABLOC INC,ovabloc
INTERNATIONAL GENETIC ENGR INC,international genetic engr
ASTEC INDUSTRIES INC,astec industries
CYTOGEN CORP,cytogen
RUDYS RESTAURANT GROUP INC,rudys restaurant
AMERICAN TELEMEDIA NETWORK INC,american telemedia network
NATIONAL REFERENCE PUBG INC,national reference pubg
AEGIS COMMUNICATIONS GROUP INC,aegis communications
WESTRONIX INC,westronix
FLAGSHIP EXPRESS INC,flagship express
TRENWICK GROUP INC,trenwick
NEECO INC,neeco
GLOBAL HEALTH SYSTEMS INC,global health systems
PEOPLES WESTCHESTER SAVINGS BANK,peoples westchester savings bank
NEWPORT NEWS SAVINGS BK VA,newport news savings bk va
TIDEMARK BANCORP INC,tidemark bancorp
COSMETIC & FRAGRANCE CONC INC,cosmetic fragrance conc
COSMETIC CENTER INC,cosmetic center
NAVIGATORS GROUP INC,navigators
COMPUTER COMPONENTS CORP,computer components
WERNER ENTERPRISES INC,werner enterprises
INTERLEAF INC,interleaf
AMERICAN TELEPHONE & TELEG CO,american telephone teleg
ARLEN PROPERTY INVS SBI,arlen property invs sbi
WORLDS OF WONDER INC,worlds of wonder
TRANSMEDIA NETWORK INC,transmedia network
IDINE REWARDS NETWORK INC,idine rewards network
REWARDS NETWORK INC,rewards network
IVY MEDICAL INC,ivy medical
CHOICE DRUG SYSTEMS INC,choice drug systems
CAPSTONE PHARMACY SERVICES INC,capstone pharmacy services
PHARMERICA INC,pharmerica
ALOETTE COSMETICS INC,aloette cosmetics
STUDENT AIDE CTRS OF AMERICA INC,student aide ctrs of america
AMERICAN HEALTH COS INC,american health cos
JONES MEDICAL INDUSTRIES INC,jones medical industries
JONES PHARMA INC,jones pharma
ROYCE LABORATORIES INC,royce laboratories
GENICOM CORP,genicom
ROYALPAR INDUSTRIES INC,royalpar industries
ELDEC CORP,eldec
NUTMEG INDUSTRIES INC,nutmeg industries
MICROBILT CORP,microbilt
ALLOY COMPUTER PRODUCTS INC,alloy computer products
CREATIVE TECHNOLOGIES CORP,creative technologies
RADVA CORP,radva
SKYWEST INC,skywest
AUTOMATED LANGUAGE PROC SYS INC,automated language proc sys
ALPNET INC,alpnet
SOUND ADVICE INC,sound advice
CLEVITE INDUSTRIES INC,clevite industries
RYAN BECK & CO INC,ryan beck
BANK OF SAN FRANCISCO HLDG CO,bank of san francisco hldg
SAN FRANCISCO CO,san francisco
CAPFILM INC,capfilm
ASK GROUP INC,ask
COLLEGE PLANNING SYSTEMS INC,college planning systems
SOUTH CAROLINA FED SVGS BK COLUM,south carolina fed svgs bk colum
SOUTH CAROLINA FEDERAL CORP,south carolina federal
ARITECH CORP,aritech
FERTILITY & GENETICS RESH INC,fertility genetics resh
FIRST FEDERAL CAROLINAS FA,first federal carolinas fa
CAROLINA BANCORP INC NEW,carolina bancorp new
AMERICAN ZINC LEAD & SMLT CO,american zinc lead smlt
AMERICAN ZINC CO,american zinc
REPUBLIC AMERICAN CORP,republic american
HOME FEDERAL FINANCIAL CORP,home federal financial
CELLULAR INC,cellular
COMMNET CELLULAR INC,commnet cellular
WATERFORD GLASS GROUP PLC,waterford glass
XYVISION INC,xyvision
FLORIDA ROCK & TANK LINES INC,florida rock tank lines
PATRIOT TRANSPORTATION HLDG INC,patriot transportation hldg
POLK AUDIO INC,polk audio
PLYMOUTH FIVE CENTS SAVINGS BANK,plymouth five cents savings bank
LEGUME INC,legume
SOUTHINGTON SAVINGS BANK CT,southington savings bank ct
BANCORP CONNECTICUT INC,bancorp connecticut
FIRST MEDICAL DEVICES CORP,first medical devices
GOLD EXPRESS CORP,gold express
ELECTRO FUNDS CORP,electro funds
AMERIQUEST TECHNOLOGIES INC,ameriquest technologies
SOMERSET SVGS BK SOMERVILLE MA,somerset svgs bk somerville ma
SOMERSET BANKSHARES INC,somerset bankshares
SOMERSET SAVINGS BANK,somerset savings bank
GENMAR INDUSTRIES INC,genmar industries
AMETEK INC,ametek
DIME SAVINGS BK WALLINGFORD CT,dime savings bk wallingford ct
DIME FINANCIAL CORP,dime financial
CALGENE INC,calgene
RESEARCH FRONTIERS INC,research frontiers
ACCEPTANCE INSURANCE HLDG INC,acceptance insurance hldg
BROUGHER INSURANCE GROUP INC,brougher insurance
WARREN FIVE CENTS SAVINGS BK MA,warren five cents savings bk ma
WARREN BANCORP INC,warren bancorp
AMERICAN CRUISE LINES INC,american cruise lines
DYNATEM INC,dynatem
MORGAN OLMSTEAD KENNEDY GARD CAP,morgan olmstead kennedy gard cap
QUEST BIOTECHNOLOGY INC,quest biotechnology
SHOE CITY CORP,shoe city
