original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
ENERPAC TOOL GROUP CORP,enerpac tool,5.5,2.0,1,0,0,0.4545454545454545,2,0.5,1,e506,12.759545536621212,11
AQUARIUS RESOURCES LTD,aquarius resources,8.5,3.5,1,0,0,0.5294117647058824,3,0.0,1,r020,22.153286022093596,17
AQUITAINE COMAPNY CANADA LTD,aquitaine comapny canada,7.333333333333333,3.0,1,0,0,0.5454545454545454,6,0.3333333333333333,0,a203,25.43198485606742,22
TRECO INC DE,treco de,3.5,1.5,0,1,0,0.4285714285714285,2,0.5,1,t602,-2.8782476592437964,7
TRECORA RESOURCES,trecora resources,8.0,3.0,0,1,0,0.4375,4,0.5,1,r020,21.5259296224036,16
Advanced Oxygen Technology,advanced oxygen technology,8.0,3.0,1,0,0,0.4166666666666667,3,0.0,0,t020,24.58255288713577,24
Archer-Daniels-Midland Co,archerdanielsmidland,20.0,6.0,1,0,0,0.35,3,1.0,1,a620,46.7850043865812,20
ARCHER DANIELS MIDLAND CO,archer daniels midland,6.666666666666667,2.0,1,0,0,0.35,3,0.0,0,d050,22.931963229897548,20
Arden Group Inc,arden,5.0,2.0,1,0,0,0.4,1,0.0,1,a630,1.7963347650077504,5
Ashland Inc,ashland,7.0,2.0,1,0,0,0.2857142857142857,2,0.0,1,a204,8.602464081079264,7
ARIZONA BANCWEST CORP,arizona bancwest,7.5,3.0,1,0,0,0.4,3,0.5,1,b052,23.267333162877815,15
QUEST FOR VALUE DUAL PURPOSE,quest for value dual purpose,4.8,1.6,0,1,0,0.4583333333333333,4,0.0,0,p061,3.819732791617568,24
ArcBest Corp,arcbest,7.0,2.0,1,0,0,0.2857142857142857,1,1.0,1,a621,12.550387398508388,7
Aydin Corp,aydin,5.0,2.0,1,0,0,0.6,1,0.0,1,a030,8.971181463864596,5
ROYCE VALUE TRUST INC,royce value trust,5.0,1.3333333333333333,0,1,0,0.4666666666666667,2,0.0,0,r020,10.038154088285111,15
Arnold Industries Inc,arnold industries,8.0,2.5,1,0,0,0.375,2,0.0,1,i530,21.5927090944867,16
Arrow Electronics Inc,arrow electronics,8.0,3.0,1,0,0,0.375,3,0.0,1,e402,16.86913716117606,16
ARTEL COMMUNICATIONS CORP,artel communications,9.5,3.5,1,0,0,0.4210526315789473,2,0.0,1,c050,20.35107538229077,19
ARTS WAY MANUFACTURING INC,arts way manufacturing,6.666666666666667,2.3333333333333335,1,0,0,0.4,4,0.0,0,m050,15.284349815708069,20
ROYCE SMALL CAP TRUST INC,royce small cap trust,4.5,1.0,0,1,0,0.3333333333333333,2,0.0,0,r020,8.073430656560594,18
ASHLAND OIL & REFNG CO,ashland oil refng,5.0,1.3333333333333333,1,0,0,0.3333333333333333,2,0.3333333333333333,0,a204,15.538932975623885,15
ASHLAND OIL INC,ashland oil,5.0,1.5,1,0,0,0.4,2,0.0,1,a204,9.932267159985958,10
Associated Communications Corp,associated communications,12.0,5.0,1,0,0,0.4583333333333333,3,0.0,1,c050,30.047136900225095,24
ASHLAND INC NEW,ashland new,5.0,1.5,1,0,0,0.3,2,0.0,1,a204,8.531295075701234,10
ASHLAND GLOBAL HOLDINGS INC,ashland global,6.5,2.0,1,0,0,0.3076923076923077,3,0.0,1,a204,12.051432037694823,13
ASHTON TATE,ashton tate,5.0,1.5,1,0,0,0.4,3,0.0,1,a203,5.8646588784341205,10
ASKIN SERVICE CORP,askin service,6.0,2.0,1,0,0,0.4166666666666667,2,0.5,1,s061,7.915183949119504,12
ASPEN RIBBON INC,aspen ribbon,5.5,2.0,1,0,0,0.3636363636363636,2,0.0,1,r010,9.302689665762156,11
