,word,Englishness,length
305,zenith income fd,19.241917092458976,14
306,zenix income,10.53900672399658,11
307,barnwell industries,25.9870557319492,18
308,baron data sys,1.5854204198243336,12
309,barrick mining,6.2434863458347305,13
310,beacon photo svc,8.252477895179503,14
311,barnes,3.4339611213462455,6
312,barrier science technology,23.114335824433518,24
313,barringer resources,22.545772044862698,18
314,barringer technologies,29.45292850892019,21
315,barry,-0.008445119456185812,5
316,western asset zenix income,21.254905186738867,23
317,basic petroleum international,21.98993972988189,27
318,bassett furniture industries,35.13829993610166,26
319,bassett walker,14.133335420052664,13
320,baukol noonan,15.938160453490699,12
321,baxter international,18.104198738195993,19
322,baxter labs,10.547771000324737,10
323,baxter travenol labs,19.13697475815185,18
324,bear creek,1.9729375538306924,9
325,bayswater realty capital,21.77779132249252,22
326,american information techs,20.626710214277995,24
327,ameritech,12.24206555995782,9
328,applied industrial techs,23.421860346436517,22
329,beck arnley,7.794495062133502,10
330,nitches,7.901602023093726,7
331,becton dickinson and,8.21625900807138,18
332,becton dickinson,11.731653505268381,15
333,proshares ultra health care,18.892216790282305,24
334,begley drug,9.520050828270664,10
335,begley,6.4874417723153135,6
336,bekins,7.291895647414183,6
337,bel fuse,-2.8733623422328916,7
338,verizon communications,23.785055564647983,21
339,bce,5.160056639417524,3
340,bell industries,13.517824011873689,14
341,belo,1.2315156402137775,4
342,bell petroleum services,19.88712618434964,21
343,bellsouth,14.224722471010956,9
344,bemis,1.2241534487125174,5
345,benihana national,15.772788932300493,16
346,benihana,13.005146387334985,8
347,berkey photo,7.330815238405513,11
348,berkey,5.542536367455386,6
349,best buy,-2.4162671244247234,7
350,best buy company,3.3415320913147957,14
351,bio medicus,5.641108212772086,10
352,canadian hydrocarbons,23.807491793637066,20
353,hydrogen energy,9.129831880705373,14
354,bio analytic labs,12.236090589428848,15
355,biorad laboratories,26.27657056554651,18
356,bio rad laboratories,17.312217160306382,18
357,cdi,8.482112261161385,3
358,biocell tech,9.877216900854751,11
359,biogen,5.071944074640373,6
360,bionex,5.080602985741628,6
361,non invasive monitoring sys,9.260248787950314,24
362,bio logic sys,-2.354276849800716,11
363,black decker,3.7302983950119106,11
364,biosynergy,16.232679572500757,10
365,black decker mfg,18.278176846689412,14
366,block drug,5.4274894010530605,9
367,black hills,6.858309638822357,10
368,boeing,4.738995467712577,6
369,valaris,5.663566436727601,7
370,valspar,9.628928284559658,7
371,csx,12.386308695833106,3
372,blount,5.0599911559514466,6
373,blount international,16.308443423015934,19
374,blount international new,16.237274417637906,22
375,blue grass breeders,10.825608158498792,17
376,blue jay energy,4.697301639648863,13
377,bluewater oil gas,13.429736545049913,15
378,bob evans farms,13.377290634244428,13
379,bobbie brooks,12.834990733470779,12
380,cardiodynamics international,32.3873074935138,27
381,bogert oil,6.9032147394022045,9
382,bohemia,6.350795805108424,7
383,officemax,15.326735476046553,9
384,officemax new,15.255566470668523,12
385,cardiodynamics intl,23.12053465386156,18
386,circa pharmaceuticals,32.007056502520086,20
387,bomaine,6.498917321855311,7
388,cardinal distribution,15.693840589246767,20
389,cardinal health,10.871580985536305,14
390,bonray drilling,13.59609958058607,14
391,bookofthemonth club,29.219404203651354,18
392,book month club,3.6439591055441944,13
393,boole babbage,8.815667915019118,12
394,robert half,7.914662401092194,10
395,robert half international,19.16311466815668,23
396,nstar,15.739829116055096,5
397,americus tr arco shs,11.583301808146452,17
398,resolute forest products,20.135503082527414,22
399,rexam,3.9016845364575836,5
400,brookfield,17.2644763920704,10
401,white electronic designs,22.53009271031784,22
402,bozzutos,18.778632744879793,8
403,bracken exploration,14.376145818476994,18
404,brady,1.56799111577801,5
405,baroid,2.9834046856148886,6
406,baroid new,2.9122356802368596,9
407,brae,-1.2713985926460452,4
408,richey electronics,21.113144644025923,17
409,bbt financial,27.52820432890578,12
410,brandywine sports,17.490629571291205,16
411,banta,1.0322833833914578,5
412,bristolmyers squibb,30.836604951007295,18
413,brown,0.616635869049466,5
414,brenco,6.185835681987797,6
415,brenner companies,18.40740012642429,16
416,bridge communication,15.754751483317303,19
417,bridgford foods,18.364707001162987,14
418,bristol,6.075536548777594,7
419,marketing services,19.643029292107318,17
420,media services,11.502995696890872,13
421,bristol myers,10.48662117916007,12
422,bristol myers squibb,17.92903171910683,18
423,telus,1.8777779932400616,5
424,bp,11.686878772093667,2
425,union camp,-1.1245260283163272,9
426,british petroleum,14.816411866484948,16
427,britt tech,5.66637055261672,9
428,sharebase,11.702535602148123,9
429,caleres,5.664015903210178,7
430,continental air lines,11.111071638428822,19
431,california federal bank fsb,31.238523514740862,24
432,cal fed bancorp,-1.8245510493328592,13
433,continental airlines,20.148441639721632,19
434,brunswick,14.04452841645478,9
435,materion,2.514031995855049,8
436,metrotrans,12.245652548417802,10
437,buell industries,20.73026922312794,15
438,builders investment,24.603012097314043,18
439,bull bear,-1.242266323732546,8
440,winmill,9.848881057436543,7
441,mastec,7.173846646024736,6
442,unisys,6.5914660779252054,6
443,burris industries,18.58293189846884,16
444,utah idaho sugar,14.987482216610125,14
445,emex,5.1584826401405675,4
446,butler national,6.641740217756734,14
447,reunion industries,23.223533337372423,17
448,bynamics,12.55674946064065,8
449,cae,-2.8170092835344875,3
450,cascade,7.845458723952635,7
451,cpt,4.9196520758136515,3
452,ramp networks,12.86010888465331,12
453,liveramp,9.387031639445746,8
454,comprehensive designers,29.117454087698377,22
455,the cigna,2.126651997332376,8
456,cigna,4.9116071578604785,5
457,cigna new,4.84043815248245,8
458,cna financial,13.816907986500864,12
459,css industries,20.74059821904404,13
460,computer data sys,6.5629383668960415,15
461,cvd equipment,9.982547456735203,12
462,telos,4.131954895203294,5
463,healthtronics,27.33182288208102,13
464,healthtronics surgical svcs,34.21907120132146,25
465,cabot,3.778178902589771,5
466,cache,2.937053380144577,5
467,caci,3.1841807986936628,4
468,canadian pacific kansas city,18.3328712955613,25
469,cadec systems,16.913308001456542,12
470,cadmus communications,24.560033110306577,20
471,caesars new jersey,21.43838450796274,16
472,cali computer sys,4.302461838130089,15
473,california water service,13.961745120869171,22
474,cambex,9.006149417546045,6
475,cambrian systems,17.58999871330561,15
476,aquila biopharmaceuticals,38.75758659603962,24
477,cambridge medical technology,26.088344583387055,26
478,cambridge medical tech,14.959209688529096,20
479,cameron iron works,7.865415689534208,16
480,cameron iron works hldg,26.43843037905105,20
481,campbell soup,15.797504278449361,12
482,campbells,17.424584275796285,9
483,canada southern petroleum,24.93652710266577,23
484,canadian barranca,17.890131082766068,16
485,canadian national railway,18.13061088730612,23
486,canadian pacific,11.228891923939356,15
487,nexen,3.5127991312893654,5
488,canadian pacific railway,19.28855919959453,22
489,canadian pacific new,11.157722918561326,18
490,constellation brands,15.57037203660928,19
491,signal technology,14.927179008422447,16
492,providian financial,18.332158545953305,18
493,capital market services,20.35213959574694,21
494,cardiosearch,17.711412872496545,12
495,care centers de,-1.8303916023149682,13
496,care enterprises,15.62781810356145,15
497,caremark,8.94780981115613,8
498,carhart photo,9.25731293722154,12
499,carlisle cos,6.877428290390434,11
500,carlisle,9.173897430821267,8
501,carlisle companies,21.324074781983306,17
502,carpenter technology,19.745170901857907,19
503,carpenter steel,10.061364104976665,14
504,cantel medical,6.082848240435033,13
505,caseys general stores,16.265164008293596,19
506,codenoll technology,22.964783285278948,18
507,caterpillar tractor,15.403030871037322,18
508,caterpillar,12.653761432175333,11
509,cato,-0.4662044911770553,4
510,cato new,-0.5373734965550843,7
511,cavco industries,24.1387984295243,15
512,cavco industries del,21.367579569622933,18
513,central fidelity banks,13.137470482395512,20
514,cermetek microelectronics,37.762174921511516,24
515,centura energy,10.766552260598552,13
516,century papers,10.6579588944286,13
517,century realty trust,9.82187608648195,18
518,lumen technologies,23.686729003847425,17
519,lumen techologies,19.546716613603515,16
520,ceradyne ca,4.951426421674001,10
521,cerbco,12.245110200025428,6
522,cetus,3.4146413318754902,5
523,certified coll,8.620727312334534,13
524,terramar,8.94840276321232,8
525,tera computer,5.11319000223064,12
526,champion parts rebuilders,25.53187539879564,23
527,champion parts,8.919392480825548,13
528,clinical data,5.926917985561397,12
529,charles river breeding labs,16.072194748975264,24
530,magellan health services,23.48863711111292,22
531,magellan health,12.602514105531501,14
532,charter medical,5.372471364242616,14
533,criticare systems,20.26643931071453,16
534,proshares trust ii,13.15901703335034,16
535,chattem,9.14880466179326,7
536,delphax technologies,34.32056761003905,19
537,checkpoint systems,27.604963997589003,17
538,chemed,1.2560162336914935,6
539,chemed new,1.1848472283134646,9
540,jpmorgan chase,15.2131305911638,13
541,chesapeake utilities,31.767057619340555,19
542,imunon,5.074157898390073,6
543,cleveland electric illum,18.432948295836756,22
544,chevrontexaco,29.5557841920064,13
545,chevron new,8.527089777832117,10
546,chicago rivet machine,15.284789223485852,19
547,chicago rivet mach,10.959166943337262,16
548,brinker international,15.988629101129831,20
549,chief consolidated mng,21.539312139787683,20
550,church dwight,9.942292033030206,12
551,churchill downs,14.15986460285205,14
552,chyronhego,19.681384185585415,10
553,caliber system,10.849697662250112,13
554,cincinnati bell new,15.633779104530486,17
555,cincinnati microwave,28.727645467639867,19
556,ciprico,11.68622153551939,7
557,circadian,12.156661313075155,9
558,circuit research labs,22.794796231593725,19
559,cintas,6.676450300036343,6
560,eci international,12.9040112245917,16
561,citizens southern old,19.30084447618298,19
562,clarcor,5.461914135037162,7
563,citizens banking mi,11.753861173265419,17
564,citizens republic bancorp,28.517297794804843,23
565,citizens fidelity,18.045173197624482,16
566,claires stores,9.415828222455183,13
567,clark equipment,10.486668853479266,14
568,clayton homes,9.598962260271122,12
569,iheartmedia,20.345488407797742,11
570,clevelandcliffs,32.955424136066135,15
571,cleveland cliffs iron,19.376334046070124,19
572,cleveland cliffs,19.640785350668846,15
573,cliffs natural resources,28.042458290935066,22
574,cleveland cliffs new,19.569616345290818,18
