original_name,company_name
BAXTER TRAVENOL LABS INC,baxter travenol labs
BEAR CREEK CORP,bear creek
BAYSWATER REALTY & CAPITAL CORP,bayswater realty capital
AMERICAN INFORMATION TECHS CORP,american information techs
AMERITECH CORP,ameritech
APPLIED INDUSTRIAL TECHS INC,applied industrial techs
BECK ARNLEY CORP,beck arnley
Nitches Inc,nitches
Becton Dickinson and Co,becton dickinson and
BECTON DICKINSON & CO,becton dickinson
ProShares Ultra Health Care,proshares ultra health care
BEGLEY DRUG CO,begley drug
BEGLEY CO,begley
BEKINS CO,bekins
BEL FUSE INC,bel fuse
VERIZON COMMUNICATIONS INC,verizon communications
BCE Inc.,bce
BELL INDUSTRIES,bell industries
Belo Corp.,belo
BELL PETROLEUM SERVICES INC,bell petroleum services
BELLSOUTH CORP,bellsouth
BEMIS CO INC,bemis
BENIHANA NATIONAL CORP,benihana national
BENIHANA INC,benihana
BERKEY PHOTO INC,berkey photo
BERKEY INC,berkey
Best Buy Co Inc,best buy
BEST BUY COMPANY INC,best buy company
BIO MEDICUS INC,bio medicus
CANADIAN HYDROCARBONS LTD,canadian hydrocarbons
HYDROGEN ENERGY CORP,hydrogen energy
BIO ANALYTIC LABS,bio analytic labs
Bio-Rad Laboratories Inc,biorad laboratories
BIO RAD LABORATORIES INC,bio rad laboratories
CDI Corp.,cdi
BIOCELL TECH,biocell tech
BIOGEN INC,biogen
BIONEX CORP,bionex
NON INVASIVE MONITORING SYS INC,non invasive monitoring sys
BIO LOGIC SYS CORP,bio logic sys
Black & Decker Corp (The),black decker
BIOSYNERGY INC,biosynergy
BLACK & DECKER MFG CO,black decker mfg
Block Drug,block drug
Black Hills Corp,black hills
BOEING CO,boeing
Valaris Ltd,valaris
VALSPAR CORP,valspar
CSX Corp,csx
BLOUNT INC,blount
BLOUNT INTERNATIONAL INC,blount international
BLOUNT INTERNATIONAL INC NEW,blount international new
BLUE GRASS BREEDERS INC,blue grass breeders
BLUE JAY ENERGY CORP,blue jay energy
BLUEWATER OIL & GAS LTD,bluewater oil gas
BOB EVANS FARMS INC,bob evans farms
BOBBIE BROOKS INC,bobbie brooks
CardioDynamics International Corp,cardiodynamics international
BOGERT OIL CO,bogert oil
BOHEMIA INC,bohemia
OFFICEMAX INC,officemax
OFFICEMAX INC NEW,officemax new
CARDIODYNAMICS INTL CORP,cardiodynamics intl
Circa Pharmaceuticals Inc,circa pharmaceuticals
BOMAINE CORP,bomaine
CARDINAL DISTRIBUTION INC,cardinal distribution
CARDINAL HEALTH INC,cardinal health
BONRAY DRILLING CORP,bonray drilling
Book-of-the-Month Club Inc,bookofthemonth club
BOOK MONTH CLUB INC,book month club
BOOLE & BABBAGE INC,boole babbage
Robert Half Inc,robert half
ROBERT HALF INTERNATIONAL INC,robert half international
NSTAR,nstar
AMERICUS TR ARCO SHS,americus tr arco shs
RESOLUTE FOREST PRODUCTS INC,resolute forest products
Rexam PLC,rexam
Brookfield Corp,brookfield
White Electronic Designs Corp,white electronic designs
BOZZUTOS INC,bozzutos
BRACKEN EXPLORATION CO,bracken exploration
Brady Corp,brady
BAROID CORP,baroid
BAROID CORP NEW,baroid new
BRAE CORP,brae
RICHEY ELECTRONICS INC,richey electronics
BB&T Financial Corp,bbt financial
BRANDYWINE SPORTS INC,brandywine sports
BANTA CORP,banta
Bristol-Myers Squibb Co,bristolmyers squibb
Brown (Robert C.) & Co Inc,brown
BRENCO INC,brenco
BRENNER COMPANIES INC,brenner companies
BRIDGE COMMUNICATION INC,bridge communication
BRIDGFORD FOODS CORP,bridgford foods
BRISTOL CORP,bristol
MARKETING SERVICES GROUP INC,marketing services
MEDIA SERVICES GROUP INC,media services
BRISTOL MYERS CO,bristol myers
BRISTOL MYERS SQUIBB CO,bristol myers squibb
TELUS CORP,telus
BP plc,bp
UNION CAMP CORP,union camp
BRITISH PETROLEUM PLC,british petroleum
BRITT TECH CORP,britt tech
SHAREBASE CORP,sharebase
Caleres Inc,caleres
CONTINENTAL AIR LINES INC,continental air lines
CALIFORNIA FEDERAL BANK FSB,california federal bank fsb
CAL FED BANCORP INC,cal fed bancorp
CONTINENTAL AIRLINES INC,continental airlines
Brunswick Corp,brunswick
Materion Corp,materion
METROTRANS CORP,metrotrans
Buell Industries Inc,buell industries
BUILDERS INVESTMENT GROUP,builders investment
BULL & BEAR GROUP INC,bull bear
WINMILL & CO INC,winmill
MasTec Inc.,mastec
Unisys Corp,unisys
BURRIS INDUSTRIES INC,burris industries
UTAH IDAHO SUGAR CO,utah idaho sugar
Emex Corp,emex
BUTLER NATIONAL CORP,butler national
Reunion Industries Inc,reunion industries
Bynamics Inc,bynamics
CAE Inc.,cae
CASCADE CORP,cascade
CPT Holding Corp,cpt
RAMP NETWORKS INC,ramp networks
LIVERAMP HOLDINGS INC,liveramp
COMPREHENSIVE DESIGNERS INC,comprehensive designers
The Cigna Group,the cigna
CIGNA CORP,cigna
CIGNA CORP NEW,cigna new
CNA Financial Corp,cna financial
CSS Industries Inc.,css industries
COMPUTER DATA SYS INC,computer data sys
CVD Equipment Corp,cvd equipment
TELOS CORP,telos
HEALTHTRONICS INC,healthtronics
HEALTHTRONICS SURGICAL SVCS INC,healthtronics surgical svcs
CABOT CORP,cabot
Cache Inc,cache
CACI INC,caci
Canadian Pacific Kansas City Ltd,canadian pacific kansas city
CADEC SYSTEMS INC,cadec systems
CADMUS COMMUNICATIONS CORP,cadmus communications
CAESARS NEW JERSEY INC,caesars new jersey
CALI COMPUTER SYS INC,cali computer sys
California Water Service Group,california water service
CAMBEX CORP,cambex
Cambrian Systems Inc,cambrian systems
AQUILA BIOPHARMACEUTICALS INC,aquila biopharmaceuticals
Cambridge Medical Technology Corp,cambridge medical technology
CAMBRIDGE MEDICAL TECH CORP,cambridge medical tech
CAMERON IRON WORKS INC,cameron iron works
CAMERON IRON WORKS HLDG INC,cameron iron works hldg
CAMPBELL SOUP CO,campbell soup
CAMPBELLS CO,campbells
CANADA SOUTHERN PETROLEUM LTD,canada southern petroleum
CANADIAN BARRANCA CORP LTD,canadian barranca
CANADIAN NATIONAL RAILWAY CO,canadian national railway
CANADIAN PACIFIC LTD,canadian pacific
Nexen Inc.,nexen
CANADIAN PACIFIC RAILWAY CO,canadian pacific railway
CANADIAN PACIFIC LTD NEW,canadian pacific new
Constellation Brands Inc,constellation brands
SIGNAL TECHNOLOGY CORP,signal technology
Providian Financial Corp,providian financial
Capital Market Services Corp,capital market services
CARDIOSEARCH,cardiosearch
CARE CENTERS INC DE,care centers de
CARE ENTERPRISES INC,care enterprises
CAREMARK INC,caremark
CARHART PHOTO INC,carhart photo
Carlisle Cos Inc,carlisle cos
CARLISLE CORP,carlisle
CARLISLE COMPANIES,carlisle companies
Carpenter Technology Corp,carpenter technology
CARPENTER STEEL CO,carpenter steel
Cantel Medical Corp,cantel medical
Casey's General Stores Inc.,caseys general stores
CODENOLL TECHNOLOGY CORP,codenoll technology
CATERPILLAR TRACTOR INC,caterpillar tractor
CATERPILLAR INC,caterpillar
Cato Corp (The),cato
CATO CORP NEW,cato new
CAVCO INDUSTRIES INC,cavco industries
CAVCO INDUSTRIES INC DEL,cavco industries del
CENTRAL FIDELITY BANKS INC,central fidelity banks
Cermetek Microelectronics Inc,cermetek microelectronics
Centura Energy Corp,centura energy
CENTURY PAPERS INC,century papers
CENTURY REALTY TRUST,century realty trust
Lumen Technologies Inc,lumen technologies
LUMEN TECHOLOGIES INC,lumen techologies
