,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
14402,VANGUARD SECTOR INDEX FUNDS,vanguard sector index funds,6.0,1.75,0,0,1,0.3333333333333333,3,0.0,0,v052
14403,BANCORP BANK,bancorp bank,5.5,1.5,1,0,0,0.2727272727272727,2,0.5,1,b052
14404,SP Plus Corp,sp plus,3.0,1.0,0,1,0,0.16666666666666666,2,0.0,1,p402
14405,SPECIALTY LABORATORIES INC,specialty laboratories,10.5,3.5,0,1,0,0.47619047619047616,3,0.0,1,l010
14406,SIRF TECHNOLOGY HOLDINGS,sirf technology,7.0,2.5,0,1,0,0.35714285714285715,2,0.5,1,t020
14407,MARKETAXESS HLDGS INC,marketaxess hldgs,8.0,2.5,0,1,0,0.25,3,1.0,1,m062
14408,Prospect Capital Corp,prospect capital,7.5,2.5,0,1,0,0.3333333333333333,3,0.0,1,p602
14409,PROCERA NETWORKS INC,procera networks,7.5,2.5,0,1,0,0.3333333333333333,3,0.5,1,n030
14410,ETRIALS WORLDWIDE INC,etrials worldwide,8.0,2.0,1,0,0,0.375,2,0.5,1,w064
14411,Arbor Realty Trust Inc.,arbor realty trust,5.333333333333333,2.0,1,0,0,0.375,4,0.0,0,r043
14412,PLANET GREEN HOLDINGS CORP,planet green,5.5,1.5,0,1,0,0.36363636363636365,3,0.0,1,p405
14413,COLLEGIATE FUNDING SERVICES INC,collegiate funding services,8.333333333333334,2.6666666666666665,1,0,0,0.4,4,0.0,0,c040
14414,COLOR KINETICS INC,color kinetics,6.5,2.5,1,0,0,0.38461538461538464,2,0.0,1,k050
14415,GREENFIELD ONLINE INC,greenfield online,8.0,2.0,0,1,0,0.4375,4,0.0,1,g605
14416,STONEMOR INC,stonemor,8.0,3.0,0,1,0,0.375,2,1.0,1,s305
14417,DOMINOS PIZZA INC,dominos pizza,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,d050
14418,Saratoga Resources Inc,saratoga resources,8.5,3.5,0,1,0,0.47058823529411764,3,0.0,1,r020
14419,MASTERCARD INC,mastercard,10.0,3.0,0,1,0,0.3,2,0.0,1,m023
14420,THOMAS PROPERTIES GROUP INC,thomas properties,8.0,2.5,0,1,0,0.375,2,0.0,1,p601
14421,PROSPECT ENERGY CORP,prospect energy,7.0,2.5,0,1,0,0.35714285714285715,3,0.0,1,p602
14422,Pharmacopeia Inc,pharmacopeia,12.0,4.0,0,1,0,0.5,3,0.0,1,p065
14423,PHARMACOPEIA DRUG DISCOVERY INC,pharmacopeia drug discovery,8.333333333333334,3.0,0,1,0,0.44,3,0.0,0,p065
14424,MannKind Corp,mannkind,8.0,2.0,0,1,0,0.25,3,1.0,1,m052
14425,PHARMACOPEIA INC NEW,pharmacopeia new,7.5,2.5,0,1,0,0.4666666666666667,3,0.0,1,p065
