,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
3650,Wharf Resources Ltd,wharf resources,7.0,2.0,0,0,1,0.35714285714285715,3,0.0,1,r020
3651,WHITEWAVE FOODS CO,whitewave foods,7.0,2.0,0,0,1,0.42857142857142855,2,0.5,1,w030
3652,HARRIS TEETER PPTYS INC,harris teeter pptys,5.666666666666667,1.6666666666666667,0,1,0,0.35294117647058826,3,0.3333333333333333,0,h060
3653,Timberland Co (The),timberland,10.0,3.0,0,1,0,0.3,1,0.0,1,t051
3654,PRICE PFISTER INC,price pfister,6.0,1.5,0,1,0,0.3333333333333333,2,0.0,1,p102
3655,Brandywine Realty Trust,brandywine realty trust,7.0,2.3333333333333335,1,0,0,0.38095238095238093,3,0.0,0,b605
3656,LA QUINTA MTR INNS LTD PRTNR,la quinta mtr inns prtnr,4.0,1.2,0,1,0,0.25,4,0.2,0,q053
3657,Multi-Color Corp,multicolor,10.0,4.0,0,1,0,0.4,2,0.0,1,m043
3658,ST IVES LABORATORIES CORP,st ives laboratories,6.0,2.0,0,1,0,0.4444444444444444,3,0.0,0,l010
3659,MIDDLEBY CORP,middleby,8.0,3.0,0,1,0,0.375,2,1.0,1,m034
3660,Equity Commonwealth,equity commonwealth,9.0,3.0,1,0,0,0.4444444444444444,2,0.0,1,c050
3661,UNIVERSAL HEALTH RLTY INCM TR,universal health rlty incm tr,5.0,1.6,0,1,0,0.32,3,0.4,0,u501
3662,KELLEY OIL & GAS PARTNERS LTD,kelley oil gas partners,5.0,1.5,0,1,0,0.4,3,0.0,0,p063
3663,ABCO Ice Cream Inc,abco ice cream,4.0,1.3333333333333333,1,0,0,0.5,3,0.3333333333333333,0,c605
3664,LARRYS ICE CREAM INC,larrys ice cream,4.666666666666667,1.3333333333333333,0,1,0,0.42857142857142855,3,0.3333333333333333,0,l060
3665,Quality Food Centers Inc,quality food centers,6.0,2.0,0,1,0,0.4444444444444444,2,0.0,0,q040
3666,Zenith National Insurance Corp,zenith national insurance,7.666666666666667,2.6666666666666665,0,0,1,0.43478260869565216,5,0.0,0,i520
3667,CELGENE CORP,celgene,7.0,2.0,1,0,0,0.42857142857142855,3,1.0,1,c042
3668,AMERICAS CAR MART INC,americas car mart,5.0,2.0,1,0,0,0.4,4,0.0,0,a506
3669,Audio King Corp,audio king,4.5,2.0,1,0,0,0.5555555555555556,2,0.0,1,a030
3670,Specialty Equipment Cos Inc,specialty equipment cos,7.0,2.3333333333333335,0,1,0,0.42857142857142855,3,0.0,0,s102
3671,STERLING ELECTRONICS CORP,sterling electronics,9.5,3.0,0,1,0,0.3157894736842105,3,0.0,1,e402
3672,SAGE BROADCASTING CORP,sage broadcasting,8.0,2.0,0,1,0,0.375,3,0.0,1,b603
3673,HARD ROCK CAFE PLC,hard rock cafe,4.0,1.3333333333333333,0,1,0,0.3333333333333333,2,0.0,0,h063
3674,HARD ROCK INTERNATIONAL PLC,hard rock international,7.0,2.3333333333333335,0,1,0,0.38095238095238093,3,0.0,0,i530
3675,National Discount Brokers Inc,national discount brokers,7.666666666666667,2.3333333333333335,0,1,0,0.391304347826087,3,0.0,0,n030
3676,Siscom Inc,siscom,6.0,2.0,0,1,0,0.3333333333333333,2,0.0,1,s020
3677,SATELLITE INFORMATION SYS CO,satellite information sys,7.666666666666667,2.6666666666666665,0,1,0,0.43478260869565216,3,0.3333333333333333,0,i510
3678,ABIOMED Inc,abiomed,7.0,4.0,1,0,0,0.5714285714285714,1,1.0,1,a105
3679,CONMED CORP,conmed,6.0,2.0,1,0,0,0.3333333333333333,1,1.0,1,c050
3680,PRONET INC,pronet,6.0,2.0,0,1,0,0.3333333333333333,1,1.0,1,p605
3681,EDAC Technologies Corp,edac technologies,8.0,3.0,1,0,0,0.4375,3,0.0,1,t020
3682,Ethema Health Corp,ethema health,6.0,2.0,1,0,0,0.4166666666666667,3,0.5,1,e305
3683,GRIST MILL CO,grist mill,4.5,1.0,0,1,0,0.2222222222222222,2,0.0,1,g602
3684,MCCAW CELLULAR COMMS INC,mccaw cellular comms,6.0,2.0,0,1,0,0.2777777777777778,4,0.6666666666666666,0,c040
3685,TIFFANY & CO NEW,tiffany new,5.0,2.0,0,1,0,0.4,2,0.0,1,t010
3686,NATIONAL HOLDINGS CORP,national,8.0,3.0,0,1,0,0.5,2,0.0,1,n030
3687,HAMILTON BANCORP INC MD,hamilton bancorp md,5.666666666666667,2.0,0,1,0,0.29411764705882354,2,0.3333333333333333,0,h050
3688,Atlantis Plastics Inc.,atlantis plastics,8.0,2.5,1,0,0,0.3125,3,0.0,1,a340
3689,COMPANIA TELEFONICA NACIONAL ESP,compania telefonica nacional esp,7.25,3.5,1,0,0,0.4827586206896552,5,0.5,0,t040
3690,LILLIAN VERNON CORP,lillian vernon,6.5,2.5,0,1,0,0.38461538461538464,3,0.0,1,l040
3691,GENDEX CORP,gendex,6.0,2.0,0,1,0,0.3333333333333333,2,1.0,1,g053
3692,DENTSPLY INTERNATIONAL INC NEW,dentsply international new,8.0,2.6666666666666665,1,0,0,0.375,5,0.3333333333333333,0,i530
3693,DENTSPLY SIRONA INC,dentsply sirona,7.0,2.5,1,0,0,0.35714285714285715,2,1.0,1,d053
3694,Icahn Enterprises LP,icahn enterprises lp,6.0,2.6666666666666665,0,1,0,0.3333333333333333,3,0.0,0,e530
3695,SIX FLAGS ENTERTAINMENT CORP NEW,six flags entertainment new,6.0,1.75,0,1,0,0.3333333333333333,4,0.0,0,e530
3696,PARAMOUNT FINANCIAL CORP,paramount financial,9.0,3.0,0,1,0,0.4444444444444444,4,0.0,1,p060
3697,PARAMOUNT GLOBAL,paramount global,7.5,2.5,0,1,0,0.4,3,0.0,1,p060
3698,ZOETIS INC,zoetis,6.0,2.0,0,0,1,0.5,1,1.0,1,z030
3699,RUBBER RESEARCH ELASTOMERICS INC,rubber research elastomerics,8.666666666666666,3.0,0,1,0,0.38461538461538464,5,0.3333333333333333,0,e402
3700,BOYS MARKET INC,boys market,5.0,1.5,1,0,0,0.4,1,0.0,1,m062
3701,AMERICAN SCREEN CO,american screen,7.0,2.5,1,0,0,0.42857142857142855,3,0.0,1,a506
3702,INNOVA PURE WATER INC,innova pure water,5.0,2.0,0,1,0,0.4666666666666667,2,0.3333333333333333,0,i501
3703,EASCO HAND TOOLS INC,easco hand tools,4.666666666666667,1.3333333333333333,1,0,0,0.42857142857142855,3,0.3333333333333333,0,e020
3704,BRINKMANN INSTRUMENTS INC NEW,brinkmann instruments new,7.666666666666667,2.0,1,0,0,0.2608695652173913,6,0.3333333333333333,0,i523
3705,North American Technologies Group Inc,north american technologies,8.333333333333334,3.0,0,1,0,0.4,3,0.0,0,t020
3706,NORTH AMERICAN NATIONAL CORP,north american national,7.0,2.6666666666666665,0,1,0,0.42857142857142855,4,0.0,0,a506
3707,NAM CORP,nam,3.0,1.0,0,1,0,0.3333333333333333,1,0.0,1,n050
3708,BASIN INDUSTRIES INC,basin industries,7.5,2.5,1,0,0,0.4,3,0.0,1,i530
3709,WINSTON FURNITURE INC DEL,winston furniture del,6.333333333333333,2.0,0,0,1,0.3684210526315789,3,0.0,0,f065
3710,Natural Alternatives International Inc,natural alternatives international,10.666666666666666,4.0,0,1,0,0.4375,6,0.0,0,i530
3711,NATURAL ALTERNATIVES INTL INC,natural alternatives intl,7.666666666666667,2.6666666666666665,0,1,0,0.391304347826087,4,0.0,0,a430
3712,TERADATA CORP,teradata,8.0,4.0,0,1,0,0.5,3,1.0,1,t060
3713,LAN SYSTEMS INC,lan systems,5.0,1.5,0,1,0,0.3,3,0.0,1,s023
3714,US Technologies Inc.,us technologies,7.0,2.5,0,1,0,0.42857142857142855,2,0.0,1,t020
3715,MULTI COLOR CORP,multi color,5.0,2.0,0,1,0,0.4,2,0.0,1,m043
3716,AGOIL INC,agoil,5.0,2.0,1,0,0,0.6,1,1.0,1,a204
3717,Air Methods Corp,air methods,5.0,1.5,1,0,0,0.4,1,0.0,1,m030
3718,AEGIS INDUSTRIES INC,aegis industries,7.5,2.5,1,0,0,0.4666666666666667,3,0.0,1,i530
3719,PARALAX VIDEO ENTERPRISES INC,paralax video enterprises,7.666666666666667,3.3333333333333335,0,1,0,0.43478260869565216,4,0.3333333333333333,0,e530
3720,HERON THERAPEUTICS INC,heron therapeutics,8.5,3.0,0,1,0,0.4117647058823529,3,0.0,1,t060
3721,ThermoGenesis Holdings Inc,thermogenesis,13.0,5.0,0,1,0,0.38461538461538464,3,0.0,1,t065
3722,TINTORETTO INC,tintoretto,10.0,4.0,0,1,0,0.4,4,0.0,1,t053
3723,Almost Family Inc,almost family,6.0,2.5,1,0,0,0.4166666666666667,2,0.0,1,a450
3724,ATEK METALS CNTR INC,atek metals cntr,4.666666666666667,1.6666666666666667,1,0,0,0.2857142857142857,3,0.6666666666666666,0,m030
3725,MEDIA PRODUCTS INC,media products,6.5,2.5,0,1,0,0.38461538461538464,2,0.0,1,p603
3726,Mid-America Realty Investments Inc,midamerica realty investments,9.0,3.6666666666666665,0,1,0,0.4074074074074074,4,0.3333333333333333,0,i510
3727,FAMILY SHOPPING NETWORK INC,family shopping network,7.0,2.3333333333333335,0,1,0,0.3333333333333333,2,0.0,0,s010
3728,Fair Isaac Corporation,fair isaac,4.5,1.5,0,1,0,0.5555555555555556,3,0.0,1,i202
3729,FRANCHISEIT CORP,franchiseit,11.0,3.0,0,1,0,0.36363636363636365,2,1.0,1,f605
3730,AGROLIFE CORP,agrolife,8.0,3.0,1,0,0,0.5,1,1.0,1,a260
3731,Sedona Corp,sedona,6.0,3.0,0,1,0,0.5,1,0.0,1,s030
3732,DIAGONAL DATA CORP,diagonal data,6.0,3.0,1,0,0,0.5,4,0.0,1,d020
3733,REGULUS THERAPEUTICS INC,regulus therapeutics,9.5,3.5,0,1,0,0.42105263157894735,3,0.0,1,t060
3734,Cambrex Corp,cambrex,7.0,2.0,1,0,0,0.2857142857142857,1,1.0,1,c051
3735,EARTH TECHNOLOGY CORP USA,earth technology usa,6.0,2.6666666666666665,1,0,0,0.4444444444444444,2,0.0,0,t020
3736,CHINA MOBILE GAMES & ENT GRP LTD,china mobile games ent grp,4.4,1.4,1,0,0,0.36363636363636365,3,0.2,0,m010
3737,Mayor's Jewelers Inc.,mayors jewelers,7.0,2.5,0,1,0,0.42857142857142855,3,0.0,1,j040
3738,FLEETMATICS GROUP PLC,fleetmatics,11.0,3.0,0,1,0,0.36363636363636365,2,1.0,1,f403
3739,TILE SHOP HOLDINGS INC,tile shop,4.0,1.0,0,1,0,0.375,1,0.0,1,t040
3740,MAYORS JEWELERS INC DEL,mayors jewelers del,5.666666666666667,2.0,0,1,0,0.4117647058823529,4,0.0,0,j040
3741,Summit Midstream Corp,summit midstream,7.5,2.0,0,1,0,0.3333333333333333,4,0.0,1,m032
3742,MPM Technologies Inc,mpm technologies,7.5,2.5,0,1,0,0.3333333333333333,2,0.5,1,t020
3743,WHEELABRATOR TECHNOLOGIES INC,wheelabrator technologies,12.0,4.0,0,0,1,0.4166666666666667,4,0.0,1,w040
3744,Jepson Corp,jepson,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,j012
3745,PENGUIN GROUP INC,penguin,7.0,2.0,0,1,0,0.42857142857142855,2,0.0,1,p052
3746,Mr. Cooper Group Inc,mr cooper,4.0,2.0,0,1,0,0.375,2,0.0,1,c010
3747,Circuit Systems Inc,circuit systems,7.0,2.0,1,0,0,0.35714285714285715,3,0.0,1,c062
3748,SOUTHERN STARR BROADCASTING GRP,southern starr broadcasting grp,7.0,1.75,0,1,0,0.2857142857142857,5,0.25,0,b603
3749,Johnson Outdoors Inc,johnson outdoors,7.5,2.0,0,1,0,0.4,5,0.0,1,o030
3750,DATAPHAZ INC,dataphaz,8.0,3.0,1,0,0,0.375,3,1.0,1,d030
3751,Selectis Health Inc,selectis health,7.0,2.0,0,1,0,0.35714285714285715,3,0.5,1,s040
3752,GLOBAL CASINOS INC,global casinos,6.5,2.5,0,1,0,0.38461538461538464,2,0.0,1,c020
3753,China Industrial Group Inc,china industrial,7.5,3.0,1,0,0,0.4,3,0.0,1,i530
3754,H.M.S.S. Inc,hmss,4.0,1.0,0,1,0,0.0,2,1.0,1,h520
3755,Natural Resources USA Corp,natural resources usa,6.333333333333333,3.0,0,1,0,0.47368421052631576,3,0.0,0,r020
3756,ISOETEC COMMUNICATIONS INC,isoetec communications,10.5,4.0,0,1,0,0.47619047619047616,3,0.5,1,c050
3757,PIEDMONT MINING CO INC,piedmont mining,7.0,2.0,0,1,0,0.35714285714285715,3,0.0,1,p035
3758,BLACKROCK MUNICIPAL TARGET TM TR,blackrock municipal target tm tr,5.6,2.0,1,0,0,0.2857142857142857,4,0.2,0,b402
3759,BLACKROCK MUNI 2030 TARGET TM TR,blackrock muni target tm tr,4.6,1.6,1,0,0,0.2608695652173913,4,0.2,0,b402
3760,KEPTEL INC,keptel,6.0,2.0,0,1,0,0.3333333333333333,2,1.0,1,k013
3761,Equinox Resources Ltd,equinox resources,8.0,3.0,1,0,0,0.5,3,0.0,1,r020
3762,CONWEST EXPLORATION LTD,conwest exploration,9.0,3.0,1,0,0,0.3888888888888889,3,0.5,1,e214
3763,DIVERSIFIED FOODS INC,diversified foods,8.0,2.5,1,0,0,0.4375,3,0.0,1,d010
3764,JANNOCK LTD,jannock,7.0,2.0,0,1,0,0.2857142857142857,2,0.0,1,j050
3765,VIGORO CORP,vigoro,6.0,3.0,0,0,1,0.5,2,1.0,1,v020
3766,VECTOR GROUP LTD,vector,6.0,2.0,0,0,1,0.3333333333333333,1,0.0,1,v023
3767,Methanex Corp,methanex,8.0,3.0,0,1,0,0.375,2,1.0,1,m030
3768,WORLD COLOR PRESS INC DEL,world color press del,4.5,1.25,0,0,1,0.2777777777777778,3,0.0,0,w064
3769,RAINBOW TECHNOLOGIES INC,rainbow technologies,9.5,3.0,0,1,0,0.42105263157894735,3,0.0,1,t020
3770,Schwab (Charles) Corp,schwab,6.0,1.0,0,1,0,0.16666666666666666,1,0.0,1,s201
3771,SCHWAB CHARLES CORP NEW,schwab charles new,5.333333333333333,1.0,0,1,0,0.25,2,0.0,0,c064
3772,WARNACO INC,warnaco,7.0,3.0,0,0,1,0.42857142857142855,2,1.0,1,w065
3773,WESTPORT RESOURCES CORP,westport resources,8.5,2.5,0,0,1,0.35294117647058826,3,0.0,1,r020
3774,WESTPORT RESOURCES CORP NEW,westport resources new,6.666666666666667,2.0,0,0,1,0.35,4,0.0,0,r020
3775,United Thermal Corp,united thermal,6.5,2.5,0,1,0,0.38461538461538464,2,0.0,1,t065
3776,TRANSGLOBE ENERGY CORP,transglobe energy,8.0,2.5,0,1,0,0.375,3,0.5,1,t605
3777,Landauer Inc.,landauer,8.0,3.0,0,1,0,0.5,2,1.0,1,l053
3778,MUNIHOLDINGS CALIFORNIA IN FD IN,muniholdings california in fd in,5.6,2.2,0,1,0,0.39285714285714285,6,0.2,0,m050
3779,CLEAN HARBORS INC,clean harbors,6.0,1.5,1,0,0,0.3333333333333333,2,0.0,1,h061
3780,LIFELOCK INC,lifelock,8.0,3.0,0,1,0,0.375,2,1.0,1,l010
3781,DIGIMETRICS INC,digimetrics,11.0,4.0,1,0,0,0.36363636363636365,3,1.0,1,d020
3782,CONTROL CHIEF HOLDINGS INC,control chief,6.0,1.5,1,0,0,0.3333333333333333,2,0.0,1,c053
3783,COMPUTALOG LTD,computalog,10.0,4.0,1,0,0,0.4,2,1.0,1,c051
3784,Gerdau AmeriSteel Corp,gerdau ameristeel,8.0,3.0,0,1,0,0.5,4,1.0,1,a506
3785,GAINSCO INC,gainsco,7.0,2.0,0,1,0,0.42857142857142855,1,1.0,1,g052
3786,Orange-Co Inc,orange,6.0,2.0,0,1,0,0.5,1,0.0,1,o605
3787,ORANGE COMPANY INC NEW,orange company new,5.333333333333333,2.0,0,1,0,0.4375,3,0.0,0,c051
3788,TVX Gold Inc.,tvx gold,3.5,1.0,0,1,0,0.14285714285714285,1,0.5,1,g043
3789,First Trust Dorsey Wright People's Portfolio ETF,first trust dorsey wright peoples portfolio,6.333333333333333,1.8333333333333333,0,1,0,0.34210526315789475,5,0.0,0,p063
3790,Albany International Corp.,albany international,9.5,4.0,1,0,0,0.47368421052631576,4,0.0,1,i530
3791,ALBANY INTERNATIONAL CORP NEW,albany international new,7.333333333333333,3.0,1,0,0,0.45454545454545453,5,0.0,0,i530
3792,REVOTEK INC,revotek,7.0,3.0,0,1,0,0.42857142857142855,2,1.0,1,r010
3793,Nordion Inc,nordion,7.0,2.0,0,1,0,0.42857142857142855,2,1.0,1,n063
3794,CYBEROPTICS CORP,cyberoptics,11.0,4.0,1,0,0,0.36363636363636365,2,1.0,1,c010
3795,FRANKLIN WIRELESS CORP,franklin wireless,8.0,2.0,0,1,0,0.3125,2,0.0,1,f605
3796,MITEK SYSTEMS INC,mitek systems,6.0,2.0,0,1,0,0.3333333333333333,3,0.5,1,s023
3797,Mission Resources Corp,mission resources,8.0,2.5,0,1,0,0.4375,4,0.0,1,r020
3798,Sprott Resource Lending Corp,sprott resource lending,7.0,1.6666666666666667,0,1,0,0.3333333333333333,3,0.0,0,r020
3799,Banco Santander SA,banco santander,7.0,2.5,1,0,0,0.35714285714285715,3,0.0,1,s053
3800,SAN CARLOS MILLING INC,san carlos milling,5.333333333333333,1.6666666666666667,0,1,0,0.3125,3,0.0,0,m040
3801,BANCO DE SANTIAGO,banco de santiago,5.0,2.3333333333333335,1,0,0,0.4666666666666667,3,0.0,0,s053
3802,BANCO SANTIAGO,banco santiago,6.5,3.0,1,0,0,0.46153846153846156,3,0.0,1,s053
3803,BANCO SANTANDER CHILE NEW,banco santander chile new,5.5,2.0,1,0,0,0.36363636363636365,4,0.0,0,s053
3804,IMAGE ENTERTAINMENT INC,image entertainment,9.0,3.0,0,1,0,0.4444444444444444,4,0.0,1,e530
3805,AREMISSOFT CORP,aremissoft,10.0,4.0,1,0,0,0.4,2,1.0,1,a605
3806,Vons Companies Inc,vons companies,6.5,2.0,0,0,1,0.38461538461538464,2,0.5,1,c051
3807,CENTRAL JERSEY BK & TR FREEHOLD,central jersey bk tr freehold,5.0,1.6,1,0,0,0.32,5,0.0,0,f604
3808,CENTRAL JERSEY BANCORP,central jersey bancorp,6.666666666666667,2.0,1,0,0,0.35,3,0.3333333333333333,0,c053
3809,OHIO BANCORP,ohio bancorp,5.5,2.5,0,1,0,0.45454545454545453,3,0.5,1,b052
3810,Trust Company of New Jersey (The),trust company of new jersey,4.6,1.6,0,1,0,0.391304347826087,3,0.0,0,c051
3811,abrdn Australia Equity Fund Inc,abrdn australia equity,6.666666666666667,2.3333333333333335,1,0,0,0.5,4,0.3333333333333333,0,a023
3812,Orthomet Inc,orthomet,8.0,3.0,0,1,0,0.375,2,1.0,1,o630
3813,ABERDEEN AUSTRALIA EQUITY FD INC,aberdeen australia equity fd,6.25,2.5,1,0,0,0.52,4,0.0,0,a023
3814,Dumagami Mines Ltd,dumagami mines,6.5,2.5,1,0,0,0.46153846153846156,3,0.5,1,d050
3815,HHB Systems Inc,hhb systems,5.0,1.5,0,1,0,0.2,3,0.5,1,s023
3816,Inca Resources Inc,inca resources,6.5,2.5,0,1,0,0.46153846153846156,2,0.0,1,r020
3817,First Commercial Corp,first commercial,7.5,2.0,0,1,0,0.3333333333333333,2,0.0,1,c050
3818,FULTON FINANCIAL CORP PA,fulton financial pa,5.666666666666667,2.0,0,1,0,0.4117647058823529,3,0.0,0,f050
3819,JEFFERSON BANKSHARES INC,jefferson bankshares,9.5,2.5,0,1,0,0.3157894736842105,3,0.5,1,b052
3820,ELECTRONIC DATA TECHNOLOGIES,electronic data technologies,8.666666666666666,3.3333333333333335,1,0,0,0.4230769230769231,4,0.0,0,t020
3821,AMCOL International Corp,amcol international,9.0,3.5,1,0,0,0.4444444444444444,3,0.5,1,i530
3822,ACORDIA INC,acordia,7.0,4.0,1,0,0,0.5714285714285714,2,1.0,1,a206
3823,HOMECALL INC,homecall,8.0,3.0,0,1,0,0.375,2,1.0,1,h050
3824,California Gold Mines Ltd,california gold mines,6.333333333333333,2.0,1,0,0,0.42105263157894735,3,0.0,0,c040
3825,STEEL WEST VIRGINIA INC,steel west virginia,5.666666666666667,1.6666666666666667,0,1,0,0.4117647058823529,3,0.0,0,v062
3826,TECOGEN INC,tecogen,7.0,3.0,0,1,0,0.42857142857142855,2,1.0,1,t020
3827,MAIONE HIRSCHBERG COS INC,maione hirschberg cos,6.333333333333333,2.0,0,1,0,0.3684210526315789,2,0.6666666666666666,0,h062
3828,MAIONE COMPANIES INC,maione companies,7.5,3.0,0,1,0,0.5333333333333333,2,0.5,1,c051
3829,Cadence Bank,cadence bank,5.5,1.5,1,0,0,0.36363636363636365,2,0.0,1,c030
3830,CADENCE FINANCIAL CORP,cadence financial,8.0,2.5,1,0,0,0.4375,3,0.0,1,f050
3831,CADENCE BANCORP,cadence bancorp,7.0,2.0,1,0,0,0.35714285714285715,3,0.5,1,c030
3832,FORT WAYNE NATL CORP IND,fort wayne natl ind,4.0,1.0,0,1,0,0.375,3,0.0,0,w050
3833,FASTENAL CO,fastenal,8.0,3.0,0,1,0,0.375,2,1.0,1,f023
3834,Westamerica Bancorporation,westamerica bancorporation,12.5,5.0,0,0,1,0.44,4,1.0,1,b052
3835,TAT Technologies Ltd,tat technologies,7.5,2.5,0,1,0,0.4,3,0.0,1,t020
3836,CAMERA ENTERPRISES INC,camera enterprises,8.5,3.5,1,0,0,0.4117647058823529,4,0.0,1,e530
3837,CONFERTECH INTERNATIONAL INC,confertech international,11.5,4.0,1,0,0,0.391304347826087,4,0.5,1,i530
3838,Canterbury Consulting Group Inc,canterbury consulting,10.0,3.5,1,0,0,0.35,3,0.0,1,c053
3839,CITIPOSTAL INC,citipostal,10.0,4.0,1,0,0,0.4,2,1.0,1,c030
3840,GORDEX MINERALS LTD,gordex minerals,7.0,2.5,0,1,0,0.35714285714285715,2,0.5,1,m050
3841,Vanguard Cellular Systems,vanguard cellular systems,7.666666666666667,2.3333333333333335,0,0,1,0.34782608695652173,3,0.0,0,v052
3842,ManpowerGroup Inc,manpowergroup,13.0,4.0,0,1,0,0.38461538461538464,2,1.0,1,m051
3843,nStor Technologies Inc.,nstor technologies,8.5,2.5,0,1,0,0.35294117647058826,3,0.5,1,t020
3844,Electrolux AB,electrolux ab,6.0,2.5,1,0,0,0.4166666666666667,2,0.5,1,e402
3845,Wegener Corp,wegener,7.0,3.0,0,0,1,0.42857142857142855,3,1.0,1,w020
3846,NEW YORK TAX EXEMPT INCOME FUND,new york tax exempt income,4.4,1.4,0,1,0,0.4090909090909091,4,0.0,0,e205
3847,Amphenol Corp,amphenol,8.0,3.0,1,0,0,0.375,1,1.0,1,a510
3848,MAXIM INTEGRATED PRODUCTS INC,maxim integrated products,7.666666666666667,2.6666666666666665,0,1,0,0.34782608695652173,3,0.0,0,i530
3849,NUVEEN NEW YORK MUNI INC FD INC,nuveen new york muni fd,3.8,1.4,0,1,0,0.42105263157894735,4,0.2,0,n010
3850,CECS Corp,cecs,4.0,1.0,1,0,0,0.25,2,1.0,1,c020
3851,AMPHENOL CORP NEW,amphenol new,5.5,2.0,1,0,0,0.36363636363636365,2,0.5,1,a510
3852,ELECTROSOURCE INC,electrosource,13.0,4.0,1,0,0,0.46153846153846156,3,1.0,1,e402
3853,ELECTROSOURCE INC NEW,electrosource new,8.0,2.5,1,0,0,0.4375,4,0.5,1,e402
3854,TUDOR CORP LTD,tudor,5.0,2.0,0,1,0,0.4,1,0.0,1,t030
3855,Columbia Pictures Entertainment Inc,columbia pictures entertainment,9.666666666666666,3.3333333333333335,1,0,0,0.41379310344827586,4,0.0,0,e530
3856,BORLAND INTERNATIONAL INC,borland international,10.0,3.5,1,0,0,0.4,4,0.5,1,i530
3857,BORLAND SOFTWARE CORP,borland software,7.5,2.0,1,0,0,0.3333333333333333,2,0.5,1,s013
3858,HERBALIFE LTD,herbalife,9.0,3.0,0,1,0,0.4444444444444444,2,1.0,1,h061
3859,HERBALIFE NUTRITION LTD,herbalife nutrition,9.0,3.0,0,1,0,0.4444444444444444,3,0.5,1,h061
3860,HENLEY MANUFACTURING CORP,henley manufacturing,9.5,3.5,0,1,0,0.42105263157894735,3,0.0,1,m050
3861,INFORMATION SCIENCES INC,information sciences,9.5,3.5,0,1,0,0.42105263157894735,3,0.0,1,i510
3862,GERAGHTY & MILLER INC,geraghty miller,7.0,2.5,0,1,0,0.35714285714285715,2,0.5,1,g060
3863,INSCI CORP,insci,5.0,2.0,0,1,0,0.4,2,1.0,1,i520
3864,INTERCEPT PHARMACEUTICALS INC,intercept pharmaceuticals,12.0,4.0,0,1,0,0.375,3,0.0,1,p065
3865,AllianceBernstein Holding LP,alliancebernstein lp,9.5,3.5,1,0,0,0.3684210526315789,3,0.5,1,a405
3866,Interparfums Inc,interparfums,12.0,4.0,0,1,0,0.3333333333333333,2,1.0,1,i530
3867,INTERMEDIATE PARFUMS INC,intermediate parfums,9.5,3.5,0,1,0,0.42105263157894735,3,0.5,1,i530
3868,INSIGHT SELECT INCOME FD,insight select income fd,5.25,1.75,0,1,0,0.3333333333333333,3,0.0,0,i520
3869,Polaris Inc,polaris,7.0,3.0,0,1,0,0.42857142857142855,1,0.0,1,p040
3870,POLARIS INDUSTRIES INC,polaris industries,8.5,3.0,0,1,0,0.4117647058823529,3,0.0,1,i530
3871,NORBORD INC,norbord,7.0,2.0,0,1,0,0.2857142857142857,2,1.0,1,n061
3872,TALISMAN ENERGY INC,talisman energy,7.0,3.0,0,1,0,0.42857142857142855,2,0.0,1,t040
3873,Van Kampen Convertible Securities Fund,van kampen convertible securities,7.5,2.75,0,0,1,0.4,5,0.25,0,c051
3874,DUFF & PHELPS SELECTED UTILS,duff phelps selected utils,5.75,1.75,1,0,0,0.30434782608695654,4,0.25,0,s040
3875,IMC Global Inc.,imc global,4.5,1.5,0,1,0,0.3333333333333333,2,0.0,1,g401
3876,DUFF & PHELPS UTILITIES INCOME,duff phelps utilities income,6.25,2.0,1,0,0,0.4,4,0.0,0,u304
3877,WEST FRASER TIMBER CO LTD,west fraser timber,5.333333333333333,1.6666666666666667,0,0,1,0.3125,3,0.0,0,f602
3878,CONTEL CELLULAR INC,contel cellular,7.0,2.5,1,0,0,0.35714285714285715,4,0.5,1,c040
3879,Utilx Corp,utilx,5.0,2.0,0,1,0,0.4,1,1.0,1,u304
3880,EDCI Holdings Inc,edci,4.0,2.0,1,0,0,0.5,1,1.0,1,e320
3881,ENTERTAINMENT DISTRIBUTN CO INC,entertainment distributn,11.5,3.5,1,0,0,0.34782608695652173,5,0.5,1,e530
3882,GULF CANADA RESOURCES LTD,gulf canada resources,6.333333333333333,2.3333333333333335,0,1,0,0.42105263157894735,3,0.0,0,r020
3883,SHAW COMMUNICATIONS INC,shaw communications,9.0,3.0,0,1,0,0.3888888888888889,2,0.0,1,c050
3884,COUNTRY LAKE FOODS INC,country lake foods,5.333333333333333,1.3333333333333333,1,0,0,0.4375,3,0.0,0,c053
3885,Pioneer Natural Resources Co,pioneer natural resources,7.666666666666667,3.0,0,1,0,0.4782608695652174,4,0.0,0,r020
3886,CZECH REPUBLIC FUND INC,czech republic,6.5,2.0,1,0,0,0.3076923076923077,3,0.0,1,r010
3887,Eagle Financial Corp,eagle financial,7.0,2.5,1,0,0,0.5,3,0.0,1,f050
3888,CENTRAL EUROPEAN VALUE FUND INC,central european value,6.666666666666667,2.6666666666666665,1,0,0,0.5,4,0.0,0,e060
3889,CORNERSTONE STRATEGIC RET FD INC,cornerstone strategic ret fd,6.25,2.0,1,0,0,0.32,4,0.0,0,c065
