original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound,Englishness,length
VITAL FARMS INC,vital farms,5.0,1.5,0,0,1,0.3,2,0.0,1,v030,8.147860253385842,10
ALX ONCOLOGY HOLDINGS INC,alx oncology,5.5,2.5,1,0,0,0.4545454545454545,3,0.5,1,o520,10.293982369252143,11
AMRYT PHARMA PLC,amryt pharma,5.5,2.0,1,0,0,0.3636363636363636,3,1.0,1,p065,13.609133452518993,11
ANNEXON INC,annexon,7.0,3.0,1,0,0,0.4285714285714285,3,1.0,1,a502,5.877889985159398,7
BROWN TOM INC,brown tom,4.0,1.0,1,0,0,0.25,2,0.0,1,b605,-1.7024712103991664,8
ARYA SCIENCES ACQ CORP II,arya sciences acq ii,4.25,1.75,1,0,0,0.5294117647058824,3,0.25,0,s205,14.953483686907054,17
CEREVEL THERAPEUTICS HLDGS INC,cerevel therapeutics hldgs,8.0,2.6666666666666665,1,0,0,0.3333333333333333,5,0.6666666666666666,0,t060,44.00772855050181,24
BLUECITY HOLDINGS LTD,bluecity,8.0,3.0,1,0,0,0.5,1,1.0,1,b402,11.494760402185657,8
BRILLIANT ACQUISITION CORP,brilliant acquisition,10.0,3.0,1,0,0,0.45,5,0.0,1,a202,18.992059890032458,20
NUKKLEUS INC,nukkleus,8.0,2.0,0,1,0,0.375,2,1.0,1,n024,14.491591107013049,8
SKILLFUL CRAFTSMAN EDU TECH,skillful craftsman edu tech,6.0,1.75,0,1,0,0.2916666666666667,3,0.25,0,c601,24.476975930180963,24
STANDARD OIL CO IND,standard oil ind,4.666666666666667,1.3333333333333333,0,1,0,0.3571428571428571,3,0.0,0,s305,5.460077365495126,14
AMOCO CORP,amoco,5.0,3.0,1,0,0,0.6,2,0.0,1,a502,5.465269278247968,5
BROWNING,browning,8.0,2.0,1,0,0,0.25,2,0.0,1,b605,6.32397230359982,8
FATHOM HOLDINGS INC,fathom,6.0,2.0,0,1,0,0.3333333333333333,1,0.0,1,f030,5.601128434986732,6
HUDSON EXECUTIVE INV CORP,hudson executive inv,6.0,2.3333333333333335,0,1,0,0.4444444444444444,3,0.0,0,e202,19.901195630608065,18
TALKSPACE INC,talkspace,9.0,2.0,0,1,0,0.3333333333333333,2,1.0,1,t042,13.818528088940246,9
