,original_name,company_name,average_amount_of_letters,average_amount_of_syllables,abcde,middle,vwxyz,vowel_to_length_ratio,most repetitions,spelling_errors,is_short_name,sound
87,SUMMA RX LABORATORIES INC,summa rx laboratories,6.333333333333333,2.3333333333333335,0,1,0,0.42105263157894735,3,0.0,0,l010
88,SCAT HOVERCRAFT INC,scat hovercraft,7.0,2.0,0,1,0,0.2857142857142857,2,0.0,1,h010
89,SPROUSE REITZ STORES INC,sprouse reitz stores,6.0,1.0,0,1,0,0.3888888888888889,4,0.6666666666666666,0,s160
90,SUN MICROSYSTEMS INC,sun microsystems,7.5,2.5,0,1,0,0.3333333333333333,4,0.0,1,m026
91,GENERAL COMPUTER CORP,general computer,7.5,3.0,0,1,0,0.4,3,0.0,1,c051
92,MOORE HANDLEY INC,moore handley,6.0,1.5,0,1,0,0.5,2,0.0,1,h053
93,TEKNOWLEDGE INC,teknowledge,11.0,3.0,0,1,0,0.36363636363636365,3,1.0,1,t025
94,CIMFLEX TEKNOWLEDGE CORP,cimflex teknowledge,9.0,2.5,1,0,0,0.3333333333333333,4,1.0,1,t025
95,CRAFTMATIC CONTOUR INDS INC,craftmatic contour inds,7.0,2.0,1,0,0,0.3333333333333333,3,0.6666666666666666,0,c601
96,CRAFTMATIC INDUSTRIES INC,craftmatic industries,10.0,3.0,1,0,0,0.35,3,0.5,1,c601
97,UNITED INSURANCE COS INC,united insurance cos,6.0,2.3333333333333335,0,1,0,0.4444444444444444,3,0.0,0,i520
98,BEAUTICONTROL COSMETICS INC,beauticontrol cosmetics,11.0,3.5,1,0,0,0.4090909090909091,3,0.5,1,b030
99,SYNERCOM TECHNOLOGY INC,synercom technology,9.0,3.5,0,1,0,0.3888888888888889,3,0.5,1,t020
100,ALPHA TECHNOLOGIES GROUP INC,alpha technologies,8.5,3.0,1,0,0,0.4117647058823529,2,0.0,1,t020
101,AMERICAN MOBILE SYSTEMS INC,american mobile systems,7.0,2.6666666666666665,1,0,0,0.42857142857142855,3,0.0,0,a506
102,INTERACTIVE TECHNOLOGIES INC,interactive technologies,11.5,4.0,0,1,0,0.43478260869565216,4,0.0,1,t020
103,LEISURE CONCEPTS INC,leisure concepts,7.5,2.0,0,1,0,0.4,3,0.0,1,c052
104,4 KIDS ENTERTAINMENT INC,kids entertainment,8.5,2.5,0,1,0,0.35294117647058826,3,0.0,1,e530
105,ASSOCIATED INNS & REST CO AMER,associated inns rest amer,5.5,2.25,1,0,0,0.4090909090909091,4,0.0,0,a202
106,AIRCOA HOSPITALITY SVCS INC,aircoa hospitality svcs,7.0,3.0,1,0,0,0.42857142857142855,3,0.6666666666666666,0,h021
107,TUESDAY MORNING INC,tuesday morning,7.0,2.0,0,1,0,0.42857142857142855,2,0.0,1,t023
108,SYNERGEN INC,synergen,8.0,3.0,0,1,0,0.375,2,1.0,1,s050
109,CITIZENS BANK NC,citizens bank nc,4.666666666666667,1.6666666666666667,1,0,0,0.2857142857142857,3,0.0,0,c030
110,FACELIFTERS HOME SYSTEMS INC,facelifters home systems,7.333333333333333,2.3333333333333335,0,1,0,0.36363636363636365,4,0.3333333333333333,0,f020
111,POLY TECH INC,poly tech,4.0,1.5,0,1,0,0.375,1,0.0,1,p040
112,AMERICAN BIOMATERIALS CORP,american biomaterials,10.0,5.0,1,0,0,0.5,4,0.5,1,b050
113,AMERICAN CLAIMS EVALUATION INC,american claims evaluation,8.0,3.3333333333333335,1,0,0,0.5,5,0.0,0,e104
114,AMERICAN LEARNING CORP NY,american learning ny,6.0,2.3333333333333335,1,0,0,0.4444444444444444,4,0.0,0,a506
115,PACER CORP WA,pacer wa,3.5,1.5,0,1,0,0.42857142857142855,2,0.0,1,p020
116,AIR REDUCTION INC,air reduction,6.0,2.0,1,0,0,0.5,2,0.0,1,r030
117,AIRCO INC,airco,5.0,2.0,1,0,0,0.6,1,1.0,1,a062
118,ORACLE SYSTEMS CORP,oracle systems,6.5,2.5,0,1,0,0.38461538461538464,3,0.0,1,s023
119,ORACLE CORP,oracle,6.0,3.0,0,1,0,0.5,1,0.0,1,o602
120,TOPS MARKETS INC,tops markets,5.5,1.5,0,1,0,0.2727272727272727,2,0.0,1,m062
121,LINCOLN MUTUAL SAVINGS BANK,lincoln mutual savings bank,6.0,2.0,0,1,0,0.3333333333333333,4,0.0,0,l052
122,LINCOLN SAVINGS BANK CARNEGIE PA,lincoln savings bank carnegie pa,5.6,1.8,0,1,0,0.35714285714285715,5,0.0,0,c065
123,MICROSOFT CORP,microsoft,9.0,3.0,0,1,0,0.3333333333333333,2,0.0,1,m026
124,SUNGARD DATA SYSTEMS INC,sungard data systems,6.0,2.0,0,1,0,0.3333333333333333,4,0.3333333333333333,0,s052
125,IFEX INC,ifex,4.0,2.0,0,1,0,0.5,1,1.0,1,i102
126,ADVISORSHARES TRUST,advisorshares trust,9.0,3.0,1,0,0,0.3333333333333333,4,0.5,1,a310
127,ACCLAIM ENTERTAINMENT INC,acclaim entertainment,10.0,3.0,1,0,0,0.4,3,0.0,1,e530
128,COMMUNITY SAVINGS BANK MA,community savings bank ma,5.5,2.0,1,0,0,0.36363636363636365,3,0.0,0,c050
